Temps,S,I,R,V,Q
0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.0
1,0.9733333333333334,0.02666666666666667,0.0,0.0,0.0
2,0.9466666666666667,0.05333333333333334,0.0,0.0,0.0
3,0.9,0.1,0.0,0.0,0.0
4,0.8733333333333333,0.12666666666666668,0.0,0.0,0.0
5,0.8333333333333334,0.16,0.0,0.0,0.006666666666666667
6,0.7933333333333333,0.16666666666666666,0.0,0.0,0.04
7,0.7133333333333334,0.24666666666666667,0.0,0.0,0.04
8,0.6133333333333333,0.36666666666666664,0.0,0.0,0.02
9,0.5266666666666666,0.4533333333333333,0.0,0.0,0.02
10,0.42,0.56,0.0,0.0,0.02
11,0.29333333333333333,0.6733333333333333,0.013333333333333334,0.0,0.02
12,0.2,0.74,0.03333333333333333,0.0,0.02666666666666667
13,0.16666666666666666,0.7266666666666667,0.08,0.0,0.02666666666666667
14,0.10666666666666667,0.7933333333333333,0.09333333333333334,0.0,0.006666666666666667
15,0.07333333333333333,0.8133333333333334,0.11333333333333333,0.0,0.0
16,0.04,0.8133333333333334,0.14666666666666667,0.0,0.0
17,0.013333333333333334,0.7666666666666667,0.22,0.0,0.0
18,0.006666666666666667,0.64,0.34,0.0,0.013333333333333334
19,0.0,0.56,0.41333333333333333,0.006666666666666667,0.02
20,0.0,0.4533333333333333,0.5266666666666666,0.006666666666666667,0.013333333333333334
21,0.0,0.32,0.66,0.006666666666666667,0.013333333333333334
22,0.0,0.22,0.7533333333333333,0.006666666666666667,0.02
23,0.0,0.18666666666666668,0.7933333333333333,0.006666666666666667,0.013333333333333334
24,0.0,0.14,0.8533333333333334,0.006666666666666667,0.0
25,0.0,0.09333333333333334,0.8866666666666667,0.006666666666666667,0.013333333333333334
26,0.0,0.06666666666666667,0.9133333333333333,0.006666666666666667,0.013333333333333334
27,0.0,0.06666666666666667,0.9266666666666666,0.006666666666666667,0.0
28,0.0,0.05333333333333334,0.9333333333333333,0.006666666666666667,0.006666666666666667
29,0.0,0.05333333333333334,0.9333333333333333,0.006666666666666667,0.006666666666666667
30,0.0,0.04,0.9466666666666667,0.006666666666666667,0.006666666666666667
31,0.0,0.03333333333333333,0.9533333333333334,0.006666666666666667,0.006666666666666667
32,0.0,0.03333333333333333,0.9533333333333334,0.006666666666666667,0.006666666666666667
33,0.0,0.02666666666666667,0.96,0.006666666666666667,0.006666666666666667
34,0.0,0.02,0.9666666666666667,0.006666666666666667,0.006666666666666667
35,0.0,0.013333333333333334,0.9666666666666667,0.006666666666666667,0.013333333333333334
36,0.0,0.02,0.9666666666666667,0.006666666666666667,0.006666666666666667
37,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
38,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
39,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
40,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
41,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
42,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
43,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
44,0.0,0.013333333333333334,0.98,0.006666666666666667,0.0
45,0.0,0.006666666666666667,0.98,0.006666666666666667,0.006666666666666667
46,0.0,0.006666666666666667,0.98,0.006666666666666667,0.006666666666666667
47,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
48,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
49,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
50,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
51,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
52,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
53,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
54,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
55,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
56,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
