Temps,S,I,R,V,Q
0,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
1,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
2,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
3,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
4,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
5,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
6,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
7,0.9866666666666667,0.013333333333333334,0.0,0.0,0.0
8,0.9866666666666667,0.006666666666666667,0.0,0.0,0.006666666666666667
