Temps,S,I,R,V,Q
0,0.999,0.001,0.0,0.0,0.0
1,0.998,0.002,0.0,0.0,0.0
2,0.996,0.004,0.0,0.0,0.0
3,0.971,0.029,0.0,0.0,0.0
4,0.92,0.08,0.0,0.0,0.0
5,0.819,0.181,0.0,0.0,0.0
6,0.611,0.389,0.0,0.0,0.0
7,0.314,0.685,0.001,0.0,0.0
8,0.106,0.892,0.002,0.0,0.0
9,0.014,0.982,0.004,0.0,0.0
10,0.0,0.971,0.029,0.0,0.0
11,0.0,0.92,0.08,0.0,0.0
12,0.0,0.824,0.176,0.0,0.0
13,0.0,0.64,0.36,0.0,0.0
14,0.0,0.37,0.63,0.0,0.0
15,0.0,0.168,0.832,0.0,0.0
16,0.0,0.034,0.966,0.0,0.0
17,0.0,0.0,1.0,0.0,0.0
