Temps,S,I,R,V,Q
0,0.98,0.02,0.0,0.0,0.0
1,0.9733333333333334,0.02666666666666667,0.0,0.0,0.0
2,0.9533333333333334,0.04666666666666667,0.0,0.0,0.0
3,0.9266666666666666,0.07333333333333333,0.0,0.0,0.0
4,0.9066666666666666,0.07333333333333333,0.0,0.0,0.02
5,0.8933333333333333,0.1,0.0,0.0,0.006666666666666667
6,0.82,0.17333333333333334,0.0,0.0,0.006666666666666667
7,0.76,0.23333333333333334,0.0,0.0,0.006666666666666667
8,0.7,0.29333333333333333,0.0,0.0,0.006666666666666667
9,0.6533333333333333,0.3333333333333333,0.0,0.0,0.013333333333333334
10,0.56,0.4266666666666667,0.0,0.0,0.013333333333333334
11,0.47333333333333333,0.5066666666666667,0.006666666666666667,0.0,0.013333333333333334
12,0.3466666666666667,0.62,0.02,0.0,0.013333333333333334
13,0.28,0.66,0.04,0.0,0.02
14,0.2,0.7466666666666667,0.04666666666666667,0.0,0.006666666666666667
15,0.12666666666666668,0.7933333333333333,0.07333333333333333,0.0,0.006666666666666667
16,0.07333333333333333,0.7733333333333333,0.14,0.0,0.013333333333333334
17,0.04666666666666667,0.74,0.19333333333333333,0.0,0.02
18,0.04,0.6933333333333334,0.24666666666666667,0.0,0.02
19,0.013333333333333334,0.6866666666666666,0.2866666666666667,0.013333333333333334,0.0
20,0.006666666666666667,0.5933333333333334,0.37333333333333335,0.013333333333333334,0.013333333333333334
21,0.006666666666666667,0.5,0.4666666666666667,0.013333333333333334,0.013333333333333334
22,0.0,0.3933333333333333,0.5866666666666667,0.013333333333333334,0.006666666666666667
23,0.0,0.32666666666666666,0.6533333333333333,0.013333333333333334,0.006666666666666667
24,0.0,0.24,0.7333333333333333,0.013333333333333334,0.013333333333333334
25,0.0,0.18,0.8,0.013333333333333334,0.006666666666666667
26,0.0,0.15333333333333332,0.8333333333333334,0.013333333333333334,0.0
27,0.0,0.11333333333333333,0.8666666666666667,0.013333333333333334,0.006666666666666667
28,0.0,0.1,0.8866666666666667,0.013333333333333334,0.0
29,0.0,0.07333333333333333,0.9133333333333333,0.013333333333333334,0.0
30,0.0,0.06666666666666667,0.92,0.013333333333333334,0.0
31,0.0,0.06,0.9266666666666666,0.013333333333333334,0.0
32,0.0,0.04,0.9466666666666667,0.013333333333333334,0.0
33,0.0,0.03333333333333333,0.9533333333333334,0.013333333333333334,0.0
34,0.0,0.02666666666666667,0.96,0.013333333333333334,0.0
35,0.0,0.013333333333333334,0.9733333333333334,0.013333333333333334,0.0
36,0.0,0.006666666666666667,0.98,0.013333333333333334,0.0
37,0.0,0.006666666666666667,0.98,0.013333333333333334,0.0
38,0.0,0.0,0.9866666666666667,0.013333333333333334,0.0
