Temps,S,I,R,V,Q
0,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
1,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
2,0.98,0.013333333333333334,0.0,0.0,0.006666666666666667
3,0.9733333333333334,0.02,0.0,0.0,0.006666666666666667
4,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
5,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
6,0.9533333333333334,0.04666666666666667,0.0,0.0,0.0
7,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0
8,0.9,0.09333333333333334,0.0,0.0,0.006666666666666667
9,0.84,0.14,0.006666666666666667,0.0,0.013333333333333334
10,0.76,0.20666666666666667,0.006666666666666667,0.0,0.02666666666666667
11,0.7,0.26,0.006666666666666667,0.0,0.03333333333333333
12,0.6733333333333333,0.3,0.013333333333333334,0.0,0.013333333333333334
13,0.6,0.35333333333333333,0.02,0.0,0.02666666666666667
14,0.5133333333333333,0.42,0.02666666666666667,0.0,0.04
15,0.44,0.4866666666666667,0.02666666666666667,0.0,0.04666666666666667
16,0.35333333333333333,0.5666666666666667,0.04,0.0,0.04
17,0.29333333333333333,0.6266666666666667,0.05333333333333334,0.0,0.02666666666666667
18,0.19333333333333333,0.7133333333333334,0.06666666666666667,0.0,0.02666666666666667
19,0.06,0.7733333333333333,0.1,0.05333333333333334,0.013333333333333334
20,0.03333333333333333,0.7333333333333333,0.16666666666666666,0.05333333333333334,0.013333333333333334
21,0.02666666666666667,0.68,0.22,0.05333333333333334,0.02
22,0.02666666666666667,0.6533333333333333,0.24666666666666667,0.05333333333333334,0.02
23,0.013333333333333334,0.5866666666666667,0.31333333333333335,0.05333333333333334,0.03333333333333333
24,0.013333333333333334,0.5066666666666667,0.38666666666666666,0.05333333333333334,0.04
25,0.013333333333333334,0.43333333333333335,0.46,0.05333333333333334,0.04
26,0.006666666666666667,0.38,0.52,0.05333333333333334,0.04
27,0.0,0.32,0.5933333333333334,0.05333333333333334,0.03333333333333333
28,0.0,0.23333333333333334,0.6933333333333334,0.05333333333333334,0.02
29,0.0,0.17333333333333334,0.7666666666666667,0.05333333333333334,0.006666666666666667
30,0.0,0.15333333333333332,0.7866666666666666,0.05333333333333334,0.006666666666666667
31,0.0,0.14,0.8,0.05333333333333334,0.006666666666666667
32,0.0,0.12,0.8066666666666666,0.05333333333333334,0.02
33,0.0,0.09333333333333334,0.8333333333333334,0.05333333333333334,0.02
34,0.0,0.1,0.84,0.05333333333333334,0.006666666666666667
35,0.0,0.08666666666666667,0.86,0.05333333333333334,0.0
36,0.0,0.07333333333333333,0.8733333333333333,0.05333333333333334,0.0
37,0.0,0.04666666666666667,0.9,0.05333333333333334,0.0
38,0.0,0.04,0.9066666666666666,0.05333333333333334,0.0
39,0.0,0.02666666666666667,0.92,0.05333333333333334,0.0
40,0.0,0.02666666666666667,0.92,0.05333333333333334,0.0
41,0.0,0.02,0.9266666666666666,0.05333333333333334,0.0
42,0.0,0.02,0.9266666666666666,0.05333333333333334,0.0
43,0.0,0.013333333333333334,0.9266666666666666,0.05333333333333334,0.006666666666666667
