Temps,S,I,R,V,Q
0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.0
1,0.98,0.02,0.0,0.0,0.0
2,0.9733333333333334,0.02666666666666667,0.0,0.0,0.0
3,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0
4,0.9266666666666666,0.07333333333333333,0.0,0.0,0.0
5,0.9,0.1,0.0,0.0,0.0
6,0.8533333333333334,0.14666666666666667,0.0,0.0,0.0
7,0.7933333333333333,0.18,0.0,0.0,0.02666666666666667
8,0.7333333333333333,0.26,0.0,0.0,0.006666666666666667
9,0.6266666666666667,0.36,0.006666666666666667,0.0,0.006666666666666667
10,0.54,0.44,0.013333333333333334,0.0,0.006666666666666667
11,0.42,0.54,0.013333333333333334,0.0,0.02666666666666667
12,0.29333333333333333,0.68,0.02,0.0,0.006666666666666667
13,0.17333333333333334,0.7866666666666666,0.02666666666666667,0.0,0.013333333333333334
14,0.10666666666666667,0.82,0.06666666666666667,0.0,0.006666666666666667
15,0.06666666666666667,0.8466666666666667,0.08666666666666667,0.0,0.0
16,0.04666666666666667,0.82,0.12,0.0,0.013333333333333334
17,0.013333333333333334,0.8266666666666667,0.15333333333333332,0.0,0.006666666666666667
18,0.013333333333333334,0.7533333333333333,0.22,0.0,0.013333333333333334
19,0.0,0.6533333333333333,0.32666666666666666,0.006666666666666667,0.013333333333333334
20,0.0,0.5933333333333334,0.3933333333333333,0.006666666666666667,0.006666666666666667
21,0.0,0.47333333333333333,0.52,0.006666666666666667,0.0
22,0.0,0.32666666666666666,0.6533333333333333,0.006666666666666667,0.013333333333333334
23,0.0,0.22666666666666666,0.7666666666666667,0.006666666666666667,0.0
24,0.0,0.15333333333333332,0.8266666666666667,0.006666666666666667,0.013333333333333334
25,0.0,0.12,0.8666666666666667,0.006666666666666667,0.006666666666666667
26,0.0,0.10666666666666667,0.88,0.006666666666666667,0.006666666666666667
27,0.0,0.07333333333333333,0.92,0.006666666666666667,0.0
28,0.0,0.06,0.9266666666666666,0.006666666666666667,0.006666666666666667
29,0.0,0.04666666666666667,0.94,0.006666666666666667,0.006666666666666667
30,0.0,0.04,0.9533333333333334,0.006666666666666667,0.0
31,0.0,0.04,0.9533333333333334,0.006666666666666667,0.0
32,0.0,0.04,0.9533333333333334,0.006666666666666667,0.0
33,0.0,0.04,0.9533333333333334,0.006666666666666667,0.0
34,0.0,0.04,0.9533333333333334,0.006666666666666667,0.0
35,0.0,0.02666666666666667,0.9666666666666667,0.006666666666666667,0.0
36,0.0,0.02,0.9733333333333334,0.006666666666666667,0.0
37,0.0,0.013333333333333334,0.98,0.006666666666666667,0.0
38,0.0,0.013333333333333334,0.98,0.006666666666666667,0.0
39,0.0,0.006666666666666667,0.9866666666666667,0.006666666666666667,0.0
40,0.0,0.0,0.9933333333333333,0.006666666666666667,0.0
