Temps,S,I,R,V,Q
0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.0
1,0.9666666666666667,0.02,0.0,0.0,0.013333333333333334
2,0.9466666666666667,0.04,0.0,0.0,0.013333333333333334
3,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0
4,0.9133333333333333,0.07333333333333333,0.0,0.0,0.013333333333333334
5,0.8533333333333334,0.13333333333333333,0.0,0.0,0.013333333333333334
6,0.7866666666666666,0.20666666666666667,0.0,0.0,0.006666666666666667
7,0.64,0.3466666666666667,0.0,0.0,0.013333333333333334
8,0.5666666666666667,0.3933333333333333,0.0,0.0,0.04
9,0.44666666666666666,0.5066666666666667,0.0,0.0,0.04666666666666667
10,0.3466666666666667,0.6133333333333333,0.006666666666666667,0.0,0.03333333333333333
11,0.26,0.6866666666666666,0.013333333333333334,0.0,0.04
12,0.21333333333333335,0.72,0.02666666666666667,0.0,0.04
13,0.16,0.7733333333333333,0.04666666666666667,0.0,0.02
14,0.12666666666666668,0.7733333333333333,0.06,0.0,0.04
15,0.06666666666666667,0.7733333333333333,0.10666666666666667,0.0,0.05333333333333334
16,0.06,0.7666666666666667,0.15333333333333332,0.0,0.02
17,0.03333333333333333,0.7,0.25333333333333335,0.0,0.013333333333333334
18,0.02666666666666667,0.6266666666666667,0.32666666666666666,0.0,0.02
19,0.006666666666666667,0.56,0.41333333333333333,0.006666666666666667,0.013333333333333334
20,0.006666666666666667,0.44,0.5333333333333333,0.006666666666666667,0.013333333333333334
21,0.006666666666666667,0.3333333333333333,0.62,0.006666666666666667,0.03333333333333333
22,0.006666666666666667,0.29333333333333333,0.6733333333333333,0.006666666666666667,0.02
23,0.006666666666666667,0.24666666666666667,0.7333333333333333,0.006666666666666667,0.006666666666666667
24,0.006666666666666667,0.19333333333333333,0.7666666666666667,0.006666666666666667,0.02666666666666667
25,0.006666666666666667,0.14,0.82,0.006666666666666667,0.02666666666666667
26,0.006666666666666667,0.10666666666666667,0.86,0.006666666666666667,0.02
27,0.006666666666666667,0.07333333333333333,0.9,0.006666666666666667,0.013333333333333334
28,0.006666666666666667,0.08,0.9066666666666666,0.006666666666666667,0.0
29,0.006666666666666667,0.06,0.9266666666666666,0.006666666666666667,0.0
30,0.006666666666666667,0.05333333333333334,0.9333333333333333,0.006666666666666667,0.0
31,0.006666666666666667,0.05333333333333334,0.9333333333333333,0.006666666666666667,0.0
32,0.006666666666666667,0.04666666666666667,0.94,0.006666666666666667,0.0
33,0.006666666666666667,0.04,0.9466666666666667,0.006666666666666667,0.0
34,0.006666666666666667,0.04,0.9466666666666667,0.006666666666666667,0.0
35,0.006666666666666667,0.03333333333333333,0.9533333333333334,0.006666666666666667,0.0
36,0.006666666666666667,0.02,0.9666666666666667,0.006666666666666667,0.0
37,0.006666666666666667,0.013333333333333334,0.9733333333333334,0.006666666666666667,0.0
