Temps,S,I,R,V,Q
0,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
1,0.9933333333333333,0.006666666666666667,0.0,0.0,0.0
2,0.98,0.02,0.0,0.0,0.0
3,0.96,0.04,0.0,0.0,0.0
4,0.9266666666666666,0.07333333333333333,0.0,0.0,0.0
5,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0
6,0.7933333333333333,0.20666666666666667,0.0,0.0,0.0
7,0.66,0.3333333333333333,0.0,0.0,0.006666666666666667
8,0.49333333333333335,0.48,0.0,0.0,0.02666666666666667
9,0.37333333333333335,0.6133333333333333,0.006666666666666667,0.0,0.006666666666666667
10,0.19333333333333333,0.7733333333333333,0.006666666666666667,0.0,0.02666666666666667
11,0.12,0.86,0.006666666666666667,0.0,0.013333333333333334
12,0.04666666666666667,0.9333333333333333,0.02,0.0,0.0
13,0.03333333333333333,0.92,0.04,0.0,0.006666666666666667
14,0.02666666666666667,0.92,0.04666666666666667,0.0,0.006666666666666667
15,0.006666666666666667,0.8933333333333333,0.09333333333333334,0.0,0.006666666666666667
16,0.006666666666666667,0.8133333333333334,0.16666666666666666,0.0,0.013333333333333334
17,0.0,0.72,0.2733333333333333,0.0,0.006666666666666667
18,0.0,0.5666666666666667,0.4266666666666667,0.0,0.006666666666666667
19,0.0,0.4266666666666667,0.5533333333333333,0.0,0.02
20,0.0,0.2733333333333333,0.7066666666666667,0.0,0.02
21,0.0,0.19333333333333333,0.8,0.0,0.006666666666666667
22,0.0,0.12666666666666668,0.8666666666666667,0.0,0.006666666666666667
23,0.0,0.12,0.88,0.0,0.0
24,0.0,0.10666666666666667,0.8866666666666667,0.0,0.006666666666666667
25,0.0,0.07333333333333333,0.9066666666666666,0.0,0.02
26,0.0,0.08,0.9133333333333333,0.0,0.006666666666666667
27,0.0,0.07333333333333333,0.92,0.0,0.006666666666666667
28,0.0,0.07333333333333333,0.92,0.0,0.006666666666666667
29,0.0,0.08,0.92,0.0,0.0
30,0.0,0.07333333333333333,0.9266666666666666,0.0,0.0
31,0.0,0.05333333333333334,0.94,0.0,0.006666666666666667
32,0.0,0.06,0.94,0.0,0.0
33,0.0,0.04666666666666667,0.9466666666666667,0.0,0.006666666666666667
34,0.0,0.05333333333333334,0.9466666666666667,0.0,0.0
35,0.0,0.04,0.9533333333333334,0.0,0.006666666666666667
36,0.0,0.02666666666666667,0.9733333333333334,0.0,0.0
37,0.0,0.02,0.9733333333333334,0.0,0.006666666666666667
38,0.0,0.02,0.98,0.0,0.0
39,0.0,0.02,0.98,0.0,0.0
40,0.0,0.02,0.98,0.0,0.0
41,0.0,0.02,0.98,0.0,0.0
42,0.0,0.013333333333333334,0.9866666666666667,0.0,0.0
43,0.0,0.013333333333333334,0.9866666666666667,0.0,0.0
44,0.0,0.006666666666666667,0.9933333333333333,0.0,0.0
45,0.0,0.006666666666666667,0.9933333333333333,0.0,0.0
46,0.0,0.006666666666666667,0.9933333333333333,0.0,0.0
47,0.0,0.006666666666666667,0.9933333333333333,0.0,0.0
48,0.0,0.0,1.0,0.0,0.0
